description;MERO;ZÜLÝ;GÝZO;Toplu
Çok güzel anlatiyor çok seviyorum ??????bana da kalp koyarmisiniz ??????;1;1;1;1
3 tane evlâd sahibi olan bir anne olark her an deðiþik yüz ifadelerine ve ruh halinrsahip olduðum için benim bunlara kesin ihtiyacým var kesinnnnn ??????tabiki bol bol þu içiyorum bide þu göz altý morluklari olmasa offf offff;0;1;0;0
Mobil veriden izliyorum daha ne yapiyim ?? bu çekiliþ benim olsun lutfeenn????????;1;2;2;2
Maþallah size enerjinize hayraným ????;1;1;1;1
Merhaba Çaðla Haným. Tabi ki bol su içmek ve doðru ürünlerle cildi temizleyip nemlendirmek birde nemlendirme iþlemini  masaj þeklinde yapmak gerçekten cilde çok iyi geliyor . Sevgiler;1;1;1;1
Bayýlýyorum bu kadýna ??;1;1;1;1
Araþtýrmaktan býkýyoruz bazen.Teþekkürler bilgileriniz için?;1;1;1;1
#AD?;2;2;2;2
Buse Kara O yüzden insanlar yüz havlusu diye bir icadý kullanýyorlar, el havlusuyla yüzlerini silmiyorlar tabii ki.??????????????;0;2;0;0
Þu haydar sapikmi;0;0;0;0
haydar kaya her yorumun altýnda sen varsýn git lan burdan;0;0;0;0
@canis majoris kaðýt havlu kullan;2;2;2;2
Kurulamazsak ama tozlar falan yapýþýr ki;0;2;2;2
En büyük tavsiyeyi doktorumdan aldým, sýrf bir baþkasýndan gördün diye sana uygun olup olmadýðýný bilmeden o ürünü alýp kullanýp cildine bu kötülüðü yapma, cildini asla temizlemeden uyuma ve cildini daima önce içerden besle :);0;1;2;0
Ben sizin kanalýnýza abone olup izlemeye baþladýktan sonra baþladým cildime özen göstermeye, önceleri çok dikkat etmezdim þimdi idolümsünüz ????;1;1;1;1
??????;2;2;1;2
????;2;2;1;2
"Annemden ogrendigim en onemli sey temiz cilt herseydir...sonrasi az makyaj, cok gülmek, dogru nefes ;) bu urun cok ilgimi cekti denemek isterim gercekten.";1;1;1;1
Yüzünü yýkadýktan sonra kurulama, kendi kurusun. Cildini mutlaka güneþten koru. Nivea classic kremle ayda iki kez nem maskesi yap (babaannemin güzellik sýrrý);1;1;2;1
Seni izlemek çok zevkli, eðlenceli ve faydalý ?? Teþekkür ederim;1;1;1;1
23 yaþýndayým, henüz hiç fondöten kullanmadým. Evet cildimde bazý kusurlar var ama bu þekilde seviyorum kendimi. Anneannemin bir tanýdýðý ailesine yardým amaçlý doðal sabunlar yapýyor, ben de 15 yaþýmdan beri yüzümü onun yaptýðý killi sabunlar ile yýkýyorum. En önemlisi kendini sevmek, insan kendini sevdiðinde yüzü de gözleri de ayrý parlýyor. ??????;1;2;2;2
"Gülsuyu detoksu, maden suyu ile yüzü arýndýrma, ve muhakkak saf sabun ile temizlemek. ?? Bir de babaannemin dediði gibi ; Önce yüreðimi temizlerim ki dýþýma da yansýsýn. ???";1;2;2;2
Cilt temizliði en baþta.. asla makyajla yatmamak. Cildin her zaman nefes almasýný saðlamak. Son olarak cildini tanýmak..;2;2;2;2
Bunlarýn hiç birini kullanmiyorsun??reklam;0;0;0;0
Mayanýn da renk açma özelliði var aslýnda ben daha çok doðal maskeler yapmaya özen gösteriyorum suyla yada maden suyuyla yýkamakta iyi oluyor ama söylendiði gibi aslýnda en önemlisi bol su içmek saðlýklý beslenmek bunlar yapýldýðý takdirde gerçekten ciltte kolay kolay sorun yaþanmýyor bu bilgi dolu video için teþekkürler çaðla abla saç modelleri bakýmlar ve günlük olanlar hakkýnda sayende bilgi alýyoruz elinize emeðinize saðlýk...Tüm oylar sana verildi bile ????;1;1;2;1
En iyi cilt bakým tavsiyem bol su içmek,Sivilcelerimizle oynamamak(çünkü daha da mahvederek yüzümüzde leke kalmasýný saðlýyoruz), Cilt tipimize uygun makyaj yapmak,Cildimize uygun sabunlar kullanmak(Bazý sabunlar yüzü aþýrý kurutuyor) Bide size porselen gibi bir cilt için maske tarifi:1yemek kaþýðý kuru maya 1yemek kaþýðý süt/iyice çýrpýp 2dk dinlendirdikten sonra yüzümüzün heryerine uyguluyoruz 20dk bekleyip duruluyoruz.Ýste bu kadar Saðlýcakla kalýn..??;1;2;1;1
Bol su içmek ve temiz bir cilt tabiki;2;2;2;2
Sýrf senin kanalýna abone olabilmek için hesap oluþturmak?? Ben taze anneyim bebiþimi emzirdikten sonra üç dört damla da yüzüme sürüyorum mis gibi vitamin deposu??;1;1;1;1
Çok yaratýcýsýn bayýlýyorum içeriklerine ????;1;1;1;1
En önemlisi her gün bol su içmek, düzenli uyumak,cildimizi iyi temizlemek yani cildimize hem içeriden hem dýþarýdan iyi bakmalýyýz. ??;1;2;2;2
Býbsefer insallah bana çýkaarrr??;1;2;2;2
En güzel büyükanne öðütü Türk kahvesi ile haftada 1 vücut ovarak duþ almak ?? babamdan öðrendiðim doðal kaya tuzu ve 2 damla badem yaðý sýcak suda ayaklarýmý dinlendirmek ??ve annemin beni büyütürken bol bol su içirip hazýr içecek içirmeyip kendi meyve sularý büyüdükçe kýymetini anladýðým en güzel detay ???? ve foreo istiyorummm ve bir türlü alamadým dermatalog kontrolümde anlattýðýmda alabilirsin temizlemene ek temizlik katar demiþti ama fýrsatlar el vermedi þanþýma bu sefer güveniyorum ??;1;2;2;2
Bakým bakým içim çýkýyor ama hiç güzelleþemiyorum ??????;0;0;0;0
Henüz 17 olsamda 13 yaþýmdan beri cilt bakýmýyla uðraþmaya bayýlýrým bir çok temizlik jelinden çok daha iþe yarayan bir þey varsa o da dalin bebek þampuanýdýr efsane temizliyor gerçekten ve eðer yüzümde sivilce lekelerim varsa geçene kadar eþit miktarda sirke ve suyu karýþtýrýp yatmadan önce pamukla uyguluyorum yüzümde pürüzsüz bir gerginlik oluyor ve bir kaç gün düzenli kullanýnca lekelerim gidiyor ve sabah akþam nemlendirici þart haftada bir kez de buhar banyosu=mükemmel bir cilt??????;1;1;2;1
Yýkadýktan sonra yüzü kurulamamak veya havlu yerine kaðýt havlu tercih etmeyi öðrenmiþtim.Bu öðrendiðim çok basit ama çok faydalý olduðunu düþündüðüm bir uygulama :);1;2;2;2
Bol su ,düzenli uyku,maden suyu veya Gül suyundan oluþmuþ buz küpleriyle masaj ?? ama yaðlý bir cilde sahibim o sebeple sivilce oluþumumu için cilt bakýmýný aksatmam söz konusu olamaz Foreo da yýllardýr istediðim bir ürün ama öðrenci olarak hep erteledim inþallah sayenizde cilt bakým rutinime ekleyebilirim ve cildim sayenizde daha da iyi olur ????;1;2;2;2
Sizin bir arý sütü tozu maskeniz vardý. O efsane efsane. Þu ana kadar uyguladýðým en iyi maske. Bana çok iyi geliyor??????;1;1;1;1
Maden suyu ile cildi arýndýrmak ??;2;2;2;2
Kesinlikle bal tarçýný karýþtýrýp haftada bir uygulamak;2;2;2;2
Ne güzel sizden bunlari öðrenebilmek ?? ama ne yazikki o kadar param yok onlari alicak . Pek makyaj yapmiyorum daha doðrusu yapamiyorum . Çekiliþi kazanmak isterim ??;0;1;1;1
Çaðla abla ben mutlaka sabah ve akþam yüz yýkama köpüðü ile yüzümü yýkýyorum akþamlarý yatmadan önce kayýsý çekirdeði yaðýný sürüyorum yüzüme ve arada bir mutlaka ?? Bebek pudrasý ile sodayý karýþtýrýp sürüyorum inanýlmaz güzel oluyor cilt tonunu açtýðýný hissediyorum ve gözenekler temizleniyor sonrasýnda tabi yine nemlendirmemiz gerekiyor ?? yani ben öyle yapýyorum ??????;2;2;2;2
Suyun cildi guzellestirdigi tavsiyesini yillarca hep.duydum ve en cok inandigim katki.maddesi icermeyen en faydali yontemdir bunun disinda maden suyu ve gul suyununda faydali oldugunun tavsiyelerini cok aldim ve uyguluyorum da ??;1;2;2;2
??????????;2;2;1;2
Bol su içmek, düzenli uyku ve stressiz bir hayat herþeye iyi gelir.??;1;2;1;1
????;2;2;1;2
??;2;2;1;2
Ne olursa olsun makyajla uyuma, nemlendiriciyi asla ihmal etme;1;2;2;2
Cildi temizledikten sonra buzu yüzde gezdirmek ??;2;2;2;2
"Annem ""her bulduðunu yüzüne sürme "" der o kadar doðru ki videonun özetide bu sanýrým önemli olan cildi temiz tutmak ve ihtiyaca göre bakým yapmak ???";1;2;2;2
Ben de hediye istiyorum ??;1;2;2;2
Hergün düzenli olarak 2.5 litre su içmek ve düzenli olarak cildi sabah akþam mutalaka temizlemek ve nemlendirmek. En önemlisi ise stresten ve düþünceden uzak kalmak. Ne kadar az düþünüp ne kadar az stresten uzak olursan bir o kadar da yýpranmýþ bir cilt olarak bize geri döner ve zamanla yüzde eskimeye baþlar. en iyisi ve güzeli kendini özel deðerli ve mutlu hissetmek bence.;1;2;2;2
Yeter artýk Foreo görmekten gýna geldi.;0;0;0;0
En iyi cok bakýmý tavsiyesi bol bol su içmek ve düzenli uyku ve temiz tutulan bir cilt bence :);1;2;1;1
Düzenli beslenmek ve uyumak en basta sonra ise bebek þampuaný ile her gece uyumadan yýkamak ??;2;2;2;2
iyi bir makyajýn sýrrý iyi temizlenmiþ ve nemlendirilmiþ bir cilttir. bugüne kadar aldýðým en doðru tavsiye;1;2;1;1
Saf tereyaðý uygulayan ve Harika cilde sahip insanlar bar etrafýmda??;1;2;2;2
dilþad þengün daha neler;0;2;2;2
peki videolarinin ortasinda cennet mahallesi izleme istegim ne olacak?;2;2;2;2
Bence herþeyin baþý cildinle oynamamak! Ne yaparsan yap, ne sürersen sür arada çýkan o minik pütürleri sýkma, koparma iþlerine kendi baþýna kalkýþýyorsan hiç birþey iþe yaramaz. Ya eve komedon alýp temizlemek yada bir uzmana gitmek lazým. Bence iþin baþý temizlik. Sonrasý da yine temizlik:D ve düzenli bakým.;0;2;2;2
bir dermotolog ile görüþüp cilt tipini belirleyip uygun ürünler ile cilt temizlik rutinine uymak :);2;2;2;2
"Valla en buyuk tavsiye nisanlimdan geldi cunku ""bol su ic, yoksa yuzun cabuk kirisir, babaannem gibi olursun"" demisti, pek takmamistim cunku ben pek su icmiyorum ama simdi senden de duyunca aynisini, bol su icmeye basladim, bugun 2 litre ?? ...optumm ??";1;2;2;2
Kliþe ama en önemli þeyler tabi ki, güzel bir þekilde düzenli olarak temizlemek ve nemlendirmek bi de bol su. Aloe vera da listenin baþýnda tabi ??;0;2;2;2
Çaðla’cým cilt bakýmýný ve makyajýmý temizlemeyi hep bebe þampuanýyla yapýyorum. ??;1;2;2;2
Haftalik maya maskesi ve kil maskesi her akþam cildi fazla cizmeyecek yikama jeliyle ya da kopuguyle yýkamak nemlendirmek ve haftada 3 kere kadar yüz yogasi benimde bildiklerim ve uyguladiklarim bunlar Çekiliþ sonucunu merakla bekliyorum ??;2;2;1;2
Çekiliþe katýldýýýým bakalým ??;1;2;2;2
En iyi tavsiyeler.. Çaðla abla bizi hep düþünür ???;1;1;1;1
Bol su içmek cildi temiz tutmak ve nemlendirmek :);2;2;2;2
En güzeli cildi temiz tutmak bol su içmek ve cildi bol bol yýkamak gül suyu ve nemlendirici ben kullanýyorum çokta iyi;1;2;1;1
Ýyice suyla yýkamak va karbonatla temizlemek;2;2;2;2
Pirinc unu süt maskesi haftada bir, birde kil maskesi haftada bir cok iyi geliyor. Birde kemik suyu ya da icebiliosak paça falan... ve dengeli temiz beslenmeeek...cilt once icerden beslenir unutmayaliim.. sevgiler;1;2;1;1
Nisan yaðmuru þifadýr, kandil gecelerinde alýnan boy abdesti cilde þifadýr gibi birçok önerisi oluyor annemin.. Tamamennn 100% doðalýndaann??;1;2;1;1
Hatice teyze beni bul;2;2;2;2
aldýðým en iyi tavsiye buz masajý. onun dýþýnda kahve telvesi, elma sirkesi, maden suyu ve yeþil çay. tabi hepsini belli sýralarda yapmak lazým????;1;2;2;2
‘Aþýk olmak’ aldýðým en ilginç tavsiyeydi ??Sonradan araþtýrdým gerçekten oksitosin ve dopamin in cilt üzerinde en olumlu etki yarattýðý yerlerden biri yüz bölgesiymiþ?? Tabi doðru olup olmadýðýný hala bilmediðim , cilt bakým ürünlerine verdiðim servetten anlaþýlýr??;1;2;2;2
Bol su içmek ve makyaj temizlemeden yatmamak ??;2;2;2;2
Umarým bana çýkar ??;1;2;2;2
Benim sýrrým da yüzüme maske yaptýktan sonra buz küpü ile yüzüme eriyene kadar masaj yapmak;1;2;2;2
Aþþþýrý kuru olan cildime tavsiye listesi buradan köye olurdu ama.. Rutin dikkat edilmesi gereken - uyku, su, temizlik vs- dýþýnda kesinlikle aloe verasalatalýk karýþýmý. Kozmetiklerden uzak durup en basitinden yediði meyvenin kalan suyuyla yüzüne adeta duþ aldýran her daim doðallýk sancaktarý annemin önerisi.. Armutun sapý üzümün çöpü deyimini bizde anlam deðiþtiriyor sanýrým ????;0;2;2;2
Mutlaka cilt bakýmý yap düzenli olarak makyaj malzemesi yerine cildine bak derim kendime ????;1;2;2;2
en iyi tavsiye kese bence.t bölgemde hangi urinu kullanirsam kullanayim hep pütür pütür bi goruntu vardi.kil maskeleri de ise yaradi ancak kisa sureli.iki gun sonra yine ayni goruntu ortaya cikiyodu.kese yaparak cildimi ölü deriden arindiriyorum.sonra da nemlendirdim mi misss ??;1;0;1;1
??;2;2;2;2
En güzel tavsiyeler ??bi kuzenimin bana sade kahve içtikten sonra onun telvesini yüzüme sürüp sonra nazikçe masaj yaparak yüzümü yýkamam ??ikincisi her gece makyaj olmasa bile yüz yýkayýp uyumak ve tabiki yastýk kýlýflarý çok çok önemli en az haftada 1 kere yastýk yüzlerinin deðiþtirilmesi yýkanmasý gerekiyor ??sonra eðer gözenekler çok belirgin ve kötüyse sade sodayý buz kalýbýna döküp her sabah yüze þok etkisi yaratýp kan dolaþýmýný hýzlandýrmak tabi mutlaka direk buz kalýbý yüze deðdirilmemeli bir tülbentin içine koyup üzerinde gezdirebilirsiniz bu da çok güzel oluyor ??ve en önemlisi de þu ki gerçekten sýkýntý stres insanýn yüzüne fiziksel görüþüne de çok yansýyor onun için kimseyi gereksiz þeyler için takmayýn siz herþeyden herkesten daha deðerlisiniz ??hayatýnýzda size hep huzursuzluk veren moralinizi bozan fazlalýklarý (insanlarý ) çýkarýn ??sevgiyle kalýn ????????;1;2;1;1
Bol su içmek kahve peelingi ve maden suyu içine 1 adet asprin atýp toniklemek??;2;2;2;2
Yararlý bir video seni cok seviyorum??;1;1;1;1
Kendimi olduðum gibi (belki sivilcelerimle bile??) kabul edip hicbi seyi sorun yapmadim cildimin temizligi icin en basta bol bol su içiyorum daha ne yapayim???;1;2;2;2
Düzenli bir þekilde bol içmeyi ihmal etmemek pahalý ya da ucuz ürünlerle olmasý farketmez temizlemek temiz tutmak tonik olarak bence en iyisi gül suyu ve nemlendirmek kullanýlan ürünler ne kadar doðal olursa o kadar iyi bence :) pahalý diye en iyisi o olucak diye bir þey yok bence;1;2;2;2
??????;2;2;1;2
tonigime bir iki damla cay agaci yagi damlatiyorum cok iyi oluyor gercekten tavsiye ediyorum..;1;2;1;1
Saðlýklý beslenme spor ve düzenli uyku;1;2;2;2
Önce içten bakým kesinlikle ???????;1;2;2;2
Küpen efsane;1;2;1;1
Cildin seni en iyi yansýtan þeydir o yüzden ona ne kadar iyi bakarsan etrafýndakilerde sana hayranlýkla bakar düzenli temizlemek aþýrý makyaj yapmamak bol su içmek çok faydalý oluyor ????;1;2;2;2
Göz çevreme krem ve maskelerimi kullanýyorum abla cildine göre masaj da yapýyorum inþallah daha iyi olurum senin gibi ablam;1;2;1;1
Benim cildime kahve telvesi çokkkkkkkkkk iyi gelir. 2 günde bir akþamlarý kendime kahve yapýp içtikten sonra telveyi yüzüme uyguluyorum. Hem peeling yapmýþ oluyorum hemde cildim ferahlamýþ oluyor. ????????;1;2;1;1
Benim þimdiye kadar aldýðým en iyi cilt bakým tavsiyem BOTOKS kcmfjfjdsjsj;1;0;2;1
Her gün düzenli olarak su içmek ve fast foodsuz yaþam ??;1;2;2;2
Dermaroller??;2;2;2;2
Evet Çaðlacým, senin ilk videondan beri bütün videolarýný izledim ve dediklerini yapa yapa, kendi cildime uygun olaný buldum. Öncelikle makjac sürmeden önce cildimi temizliyorum ve nemlendiricimi sürüyorum ve onun üstüne makjac yapýyorum, çünkü cildim kimyasal madde ile direk temas etmesin diye. Daha sonra dýþarý çýktýðýmda güneþ korumalý krem kullanýyorum. Mutlaka göz altýma kremimi sürüyorum. Özellikle oraya dikkat ediyorum. Her akþam mutlaka yüzümü temizleyip yatýyorum. Bunlarý hep senin sayende öðrendim. En çok tavsiye edebileceðim maske ise, kil maskesi. Bazen yoðurt ve niþasta katýp yapýyorum, Bazen su. Deðiþiyor. Onun dýþýnda içten temizlik önemli. Yaðlý þeylerden uzak duruyorum, çünkü sivilce yapýyor. Sana teþekkür ederim. Kimseye yaramadýysada bu youtube kanalýn, beni bilinçlendirdin!??????;1;1;1;1
??????;2;2;2;2
Yahu her sene saten dolgumu botoksmu ne yaptýrýyorsun sonra güzellik sýrlarý vereyim diyorsun;0;0;0;0
Güzel bir þekilde temizleyip iyi nemlendirmek çok önemli ??;1;2;2;2
Bol su tüketmek ve foreo luna kullanmak??;2;2;2;2
Annem hep der ki yüzüne hiç bi þey sürme yüzü güzele doyulur da huyu güzele doyulmazmýþ ????;1;2;0;1
"Þimdiye kadar aldýðým tavsiyelerden en iyisini mix yaparak kendim oluþturdum?? Mükemmel bir cilt için mottom; ‘Bol su iç, saðlýklý beslen, doðanýn mucizelerine kucak aç, sevgiyle kal ve kocaman gülümse’ ???????????";1;2;1;1
"Kadýnlar çok küçük yaþlarda kendi bedenleriyle ilgilenmeye baþlýyor ama bu ilgi hep ideal bir güzelliðe ulaþmak adýna bedenimizle savaþ þeklinde... Özbakým bilincinden yoksun, kendimize sevgi ve þefkat duymadan, farklýlýklarýmýzýn deðerini bilmeden... Gençliðimiz baþkalarýna benzemeye çalýþmakla geçiyor. Halbuki kendi bedenimizle iliþkimizi daha saðlýklý kurabilsek; bedenimizden nefret ettiðimiz için deðil, bedenimizi sevdiðimiz için beslenme, spor, bakým vb. konusunda kendimizle ilgilensek ne çok þey deðiþir! Böylece özsevgiyle yükselen enerjimizi çok daha verimli kullanabiliriz.";0;2;0;0
Yüzünü temizlemeden yatma ve yastýk kýlýfýný her gün deðiþtir;1;2;2;2
En etkili cilt bakýmý önerin makyajla uyumayýp temizleyim kremimi toniðimi sürüp göz altý bakýmýmý tatlý badem yaðýmý kirpiklerime kaþlarýma sürmekti;1;2;2;2
"Sophia loren rendeleyip hafif isittigi DOMATES puresine zeytinyaðý katýp yuzune surermis isininca likopen açýða çýktýðý için bunu yapýyormuþ biraz araþtýrýnca of dedim ya kýþlýk hazýrladýðým domatesten bi sos tavasina 2 kaþýk 1 tatlý kaþýðý da zeytin yaðý efsane ne güneþ lekesi ne de kýrýþýklýk özellikle aðýz kenarý ve göz çevresinde çok belli oluyo etkisi benim yüzüm kemikli olduðu için en çok orda çizgilerim ondan da olabilir kuruyan maskesi foreoyla çýkarmak harika olur caglaaa bence likopenin etkilerine bi bak antioksidan serbest radikallere savasiyo cildin oksijen seviyesini arttýrýyor baya gözden kaçmýþ bi maske mutlaka denemelisin hatta videosunu çekersen bütün kýzlar öðrenir italyan mucizesi ""Beautiful sophia"" boþuna uðraþmaz bence";0;2;2;2
Yaðmur Gürler Aktaþ domates ve zeytinyaðýný tavada ýsýtýyor musun? Isýtýyorsan süresi ne kadar?;2;2;2;2
Küçük yaþlarda annem makyaj yaptýrmadý cildine zarar verirsin en güzel makyaj cildinin güzelliði der 32 yaþýndayým annemi son 5 yýldýr anladým gerçekten cildine iyi bakarsan gerek kalmýyor makyaj silmeden yatýlmaz derdi ve fondöten ý sadece çok çok özel günlerde kullanýrdý bende öyle yapmaya çalýþýyorum ama yediklerimiz de çok önemli artýk onlarýn zamanýndaki kadar doðal deðil herþey ama mümkünse abur cubur yememeye çalýþmak ?? caným annem herseyde her zaman yanýmda ol ??;1;2;0;1
güzel kalpli insanlarin yüzunde hep bir iþik bir parilti oluyoo en güzelide bu deyilmi ???????????? siz gibi;1;0;1;1
En iyi tavsiyem yüzümde çýkan sivilce ve siyah noktalarimi sýkmamam gerektiginin söylenmesiydi bence:));1;2;2;2
Cilt bakýmý ile ilgili aldýðým en iyi tavsiye önce yediðimize ve içtiðimize dikkat etmemizdi. Bu tavsiyeyi uygulamaya baþladýktan sonra gözle görülür büyük bi fark gördüm. Bende herkese bunu tavsiye ediyorum. Ve seni çok seviyorum Çaðla abla ???????;1;1;1;1
Cilt bakým adýna aldýgým en güzel tavsiye kahve telvesini yüzüne uygulamak gercekten iþe yarýyo;1;2;1;1
??????;2;2;1;2
Temiz bir cilt iyi bir uyku ve temiz bir kalp;2;2;1;2
“Ben turunç keserken bide sýkarken ellerim yað olurdu hiç yýkamadan güzelce yüzüme yedirirdim cildimin canlýlýðýný ve temizliðini ona borçluyum “ der herzaman ve Harika bir cildi var iþe yarýyor.????????;1;2;1;1
Düzenli uyku ve makyajý gün sonunda güzel temizlemek cildin ana dostalarýndan kesinlikle ??;2;2;1;2
En büyük tavsiye ‘büyüklerinin söylediðini dinle kulak arkasý etme’ Dönüp dolaþýp yýllar sonra yine annemin, anneannemin söylediklerine geldim;1;2;2;2
En güzeli bol su içmek iyi uyumak akþam yatmadan cildi temizlemek yaðlý gýdalar yememek kafaya tokadan baþkasýný takmamak??;1;2;2;2
Zerdeçal yoðurt karýþýmý?? Aspirin limon karýþýmý?? Kahve telvesi tarçýn karþýmý??Doðal elma sirkesi çay aðacý yaðý(sivilceler için) bunlar enlerim anlýk kurtarýcýlarým seveeim kendilerini;1;2;2;2
Ben cilt bakýmý ile ilgili kimseden tavsiye almam Çünkü herkesin cilt tipi farklý olduðundan dolayý Cildimi kendim tanýyýp kendime göre ayarlýyorum benim çok karmaþýk bi cildim var;1;0;0;0
Yüz yogasýna buyrun bekleriiim ???????;2;2;2;2
Du bist was du isst! You are what you eat! Sen Ne yersen O'sundur!;1;2;2;2
Uyku????;2;2;1;2
Zamanýnda aldýðým kremin uygun olmamasý ve hala duruyor olmasý ??;0;0;0;0
stresin az,düzenli uyku ve sporun eksik olmadýðý, günde en az 2 litre su içildiði,genç yaþta makyaja baþlamamanýn bilincinde oluþulduðu,bol gülmeli bir hayat ??;1;2;1;1
????;2;2;2;2
Herþeyin pratik olaný en iyisi;1;2;1;1
Her þeyden önce ruhsal olarak kendimizi iyi hissetmek cildimizi de kendimizi de pýrýl pýrýl yapýyor ???? onun yanýnda iyi beslenme,uyku,spor ve sonrasýnda cildimizi tanýyýp uygun ürünlerle bakýmýný yapmak mesela benim cildim kuruya dönük bu nedenle nem veren yað ve serumlar iyi geliyor.??;1;2;1;1
Çaðla abla kupkuru bir cilt nedir gayet iyi anlýyorum seni??????? bu sefer de þansýmý deneyeyim bakalým??;2;2;1;2
Benim de normal Ve basit bir þekilde hergün düzenli olarak yaptýðým bol su içmek yatmadan yüz yýkama jeliyle yüzümü yýkýyorum nemlendirici ve tonikte mutlaka uyguluyorum haftada bir gün soda limon yapýp yüzüme msj yapýyorum bu ürünü denemek çok isterim umarým bana çýkar sevgiler güzel anne ??;1;2;1;1
Hm.. cilt bakýmý olarak ise mutlu hissetmek en iyi tavsiye ?? ve dediðin gibi gereksiz makyajdan uzak durmak. ??;1;2;1;1
Uyku, az stres, çok mutluluk, bol kahkaha, temizlik,;2;2;2;2
Güzellikkk ??;1;2;1;1
Cennet mahallesinden beri seni çok seviyorum Çaðla abla. Youtube da kanal açtýðýnda çok mutlu oldum , hepsini izlemeye çalýþýyorum ve her videon bana bir þey katýyor. Tecrübelerine güveniyorum. Ýki çocuk annesi olarak seni ve hayattaki azmini çok takdir ediyorum. Bir abla gibisin. Fondoteni sürme diyorsun ama hep sürüyorum?? ama senden sonra az sürmeye baþladým.?? Ýnþallah hep mutlu olursun çünkü enerjinle beni mutlu ediyorsun . Söyleyeceklerim bu kadar. ??;1;1;1;1
Karbonatýn ýçine birkaç damla limon suyu sýkýp yüzümüze hafif hafif sürüyoruz...;2;2;2;2
Ne güzel bi enerjin var. 18 yaþýndayým ve çok þey öðrendim senden. Aþýrý sorunlu yüzüm sürekli çýkan sevilceler ve diyabet hastasý olmamdan dolayý kalan lekeler.. çok çok teþekkürler enerjin ve güler yüzün hiç eksik olmasýn..??;1;1;1;1
Bol su içmek, düzenli uyku, stresten uzak durmak ve makyajýmýzý temizlemeden asla uyumamak??;2;2;2;2
Hücre yenilenmesini kaçýrmamak için çok geç saatlere kalmadan uyumak Makyaj ve cildi temizlemeden uyumamak Yer çekimine inat yukarý hareketlerle cildi temizlemek yýkamak Tuz ile peeling yapmak Yaz kýþ güneþ koruyucu kullanmak Bol su içmek Yaðlý yiyeceklerden kaçýnmak Cildimizle fazla uðraþmamak oynamamak Mutlu olmak Pozitif olmak;2;2;1;2
Ay bu sefer bana çýksýn ya??????;0;2;2;2
Her aksam temiz cildini soda ile yýkayýp, haftada bir kokusuna dayanýp yaþ maya sürüp cildini canlý tutabýlýrsýn ?? uydum ve cildim cok güzel ??;1;2;1;1
En zahmetsiz ve masrafsýz olaný ‘su içmek’ sýrf cildi güzelleþtiriyor diye alýþkanlýk haline geldi tek taþ iki kuþ ????;1;2;2;2
Bol su içmek??;2;2;2;2
En önemlisi mutlu olmak, elinden geldiðince yüzünü temiz tutmak ve iyi nemlendirmek... tabi ki bol su. Düzenli spor ve saðlýklý beslenme.;2;2;1;2
Aldýðým en iyi cilt bakým tavsiyesi tabiki en baþta sigarayý býrakmak. Büyük fark ediyor. Sonra bol su. En önemlisi de çok fazla þey sürmekten ziyade temiz tutmak ve nemlendirmek.;1;2;2;2
Yaþasýn Foreo??????bu sefer yüzüm gülsün lütfennnn????????;0;2;1;0
Çaðlaaa ????;2;2;2;2
Hem kalbi güzel hem cildi guzel Cagla abla ??????;1;1;1;1
En iyi cilt bakýmý düzenli uyumak ve bol su içmektir.;1;2;1;1
Özellikle çýkan sivilceleri kesinlikle sýkmamak ve üzerine geceden bepanthene krem sürmek. Sabah bi kalkmýþsýnýz tamamen çýkmak için günlerce sürünen sivilceleri son haline getirmiþþþ... ??göz altýmda ve dudak çevremde bulunan mimik çizgilerime bir çare bulamadým ama sizin son söylediðiniz bol bol gülün taktiðini uyguladýðýmdan diye düþünüyorum?? ama þu serumu ve kremi foreo ile sürme iþi bayaðý mantýklý geldi??;2;2;1;2
Artýk çok boþ konulu videolar çekiyorsunuz. Daha yaratýcý olmanýz dileðiyle;0;0;0;0
Ýzlediðim en yararlý videosu boþ yapma;0;2;1;0
Senden aldýðým tavsiye oldu sanýrým cildini her zaman yýka temiz kullan temiz tut ki cildin hep parlasýnn (bol su takviyesi ile:)));1;1;1;1
Ýðneli epilasyondan sonra yüzümde lekeler kaldý doktora basvurdum anti-age krem öneriyor fakat anti-age kremlerin yanýna yaklaþýlmýyor çok pahalý olsa da bizde uygulamalý çaðla ablayý etiketleyip göstersek çok cici olurdu. Tabi ki saðlýklý beslenmek en önemlisi??????????;0;2;0;0
Lemon veeee bebe pudrasý ????????;2;2;2;2
Hindistancevizi yaðý kesinlikle mucize gibi. Düzenli kullanýmda izleri azaltýyor, güneþ lekelerinin rengini açýyor ve hepsinden güzeli göz altýndaki kýrýþýklýklarý azaltarak göz altýný pürüzsüzleþtiriyor.;1;2;1;1
düzenli uyu, bol su iç, stressiz yaþam için Çaðla izle :)));1;2;1;1
Cildime en iyi gelen þey GÜLÜMSEMEK ??;1;2;1;1
Cildimi hunharcaaaa çata çuta temizlemek istiyorum ay benim olsun lütfen kiiiii o temizlik hissini çatur çutur yaþayayým ???????? bir de o bebek poposu hissi için lütfennnn;0;0;2;0
Herþeyden önce önemli olan bol su içmek...benim cildim yaðlý ve ona göre köpük temizleyici,tonik ve kremlerimi kullanýyorum Haftada 2 kere de maske yapýyorum...beslenme su ve uygun ürünler kullanma??;2;2;1;2
Bol su içmek????????;2;2;2;2
